Ticker,Security,SectorID
HLT,HILTON WORLDWIDE,CD
MAR,MARRIOTT INTL-A,CD
ROP,ROPER TECHNOLOGI,IT
TRV,TRAVELERS COS IN,FN
VST,VISTRA CORP,UT
ABNB,AIRBNB INC-A,CD
AEP,AMERICAN ELECTRI,UT
AXON,AXON ENTERPRISE,IN
CARR,CARRIER GLOB,IN
DLR,DIGITAL REALTY,RL
KMI,KINDER MORGAN IN,EN
NSC,NORFOLK SOUTHERN,IN
NXPI,NXP SEMICONDUCTO,IT
PWR,QUANTA SERVICES,IN
TFC,TRUIST FINANCIAL,FN
AFL,AFLAC INC,FN
ALL,ALLSTATE CORP,FN
AIG,AMERICAN INTERNA,FN
AMP,AMERIPRISE FINAN,FN
BDX,BECTON DICKINSON,HC
COR,CENCORA INC,HC
CTVA,CORTEVA INC,MT
FDX,FEDEX CORP,IN
MPC,MARATHON PETROLE,EN
OKE,ONEOK INC,EN
PCAR,PACCAR INC,IN
O,REALTY INCOME,RL
REGN,REGENERON PHARM,HC
RSG,REPUBLIC SVCS,IN
SRE,SEMPRA,UT
SPG,SIMON PROPERTY,RL
TEL,TE CONNECTIVITY,IT
WDAY,WORKDAY INC-A,IT
CCI,CROWN CASTLE INC,RL
CMI,CUMMINS INC,IN
D,DOMINION ENERGY,UT
EW,EDWARDS LIFE,HC
FICO,FAIR ISAAC CORP,IT
FAST,FASTENAL CO,IN
GM,GENERAL MOTORS C,CD
KDP,KEURIG DR PEPPER,CS
KR,KROGER CO,CS
LHX,L3HARRIS TECHNOL,IN
MET,METLIFE INC,FN
MNST,MONSTER BEVERAGE,CS
MSCI,MSCI INC,FN
PAYX,PAYCHEX INC,IN
PSX,PHILLIPS 66,EN
PSA,PUBLIC STORAGE,RL
SLB,SCHLUMBERGER LTD,EN
TGT,TARGET CORP,CS
URI,UNITED RENTALS,IN
GWW,WW GRAINGER INC,IN
AME,AMETEK INC,IN
CAH,CARDINAL HEALTH,HC
CBRE,CBRE GROUP INC-A,RL
CPRT,COPART INC,IN
GLW,CORNING INC,IT
EXC,EXELON CORP,UT
FIS,FIDELITY NATIONA,FN
F,FORD MOTOR CO,CD
IDXX,IDEXX LABS,HC
KVUE,KENVUE INC,CS
KMB,KIMBERLY-CLARK,CS
PEG,PUB SERV ENTERP,UT
ROST,ROSS STORES INC,CD
TTWO,TAKE-TWO INTERAC,TC
VLO,VALERO ENERGY,EN
VRSK,VERISK ANALYTI,IN
XEL,XCEL ENERGY INC,UT
YUM,YUM! BRANDS INC,CD
ACGL,ARCH CAPITAL GRP,FN
BKR,BAKER HUGHES CO,EN
CHTR,CHARTER COMMUN-A,TC
CTSH,COGNIZANT TECH-A,IT
ED,CONS EDISON INC,UT
CSGP,COSTAR GROUP INC,RL
DELL,DELL TECHN-C,IT
DXCM,DEXCOM,HC
DHI,DR HORTON INC,CD
EBAY,EBAY INC,CD
EA,ELECTRONIC ARTS,TC
ETR,ENTERGY CORP,UT
EQT,EQT CORP,EN
HIG,HARTFORD INSURAN,FN
HES,HESS CORP,EN
IR,INGERSOLL-RAND I,IN
MCHP,MICROCHIP TECH,IT
MPWR,MONOLITHIC POWER,IT
NDAQ,NASDAQ INC,FN
OTIS,OTIS WORLDWI,IN
PRU,PRUDENTL FINL,FN
RMD,RESMED INC,HC
ROK,ROCKWELL AUTOMAT,IN
SYY,SYSCO CORP,CS
TRGP,TARGA RESOURCES,EN
VICI,VICI PROPERTIES,RL
VMC,VULCAN MATERIALS,MT
WAB,WABTEC CORP,IN
WEC,WEC ENERGY GROUP,UT
A,AGILENT TECH INC,HC
ANSS,ANSYS INC,IT
AVB,AVALONBAY COMMUN,RL
DAL,DELTA AIR LI,IN
DD,DUPONT DE NEMOUR,MT
EFX,EQUIFAX INC,IN
EXR,EXTRA SPACE STOR,RL
GRMN,GARMIN LTD,CD
IT,GARTNER INC,IT
GEHC,GE HEALTHCARE TE,HC
GIS,GENERAL MILLS IN,CS
HUM,HUMANA INC,HC
IRM,IRON MOUNTAIN,RL
KEYS,KEYSIGHT TEC,IT
MTB,M&T BANK CORP,FN
MLM,MARTIN MAR MTLS,MT
NRG,NRG ENERGY,UT
NUE,NUCOR CORP,MT
OXY,OCCIDENTAL PETE,EN
ODFL,OLD DOMINION FRT,IN
